UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
T,30.67,*,T190315C00015000,,call,03/15/2019,03/15/2019,15,15.35,14,17.35,0,67,0
T,30.67,*,T190315P00015000,,put,03/15/2019,03/15/2019,15,0,0,0.04,0,0,0
T,30.67,*,T190315C00016000,,call,03/15/2019,03/15/2019,16,14.95,12.85,16.4,0,46,0
T,30.67,*,T190315P00016000,,put,03/15/2019,03/15/2019,16,0.01,0,0.04,0,2,0
T,30.67,*,T190315C00017000,,call,03/15/2019,03/15/2019,17,13.35,11.9,15.35,0,6,0
T,30.67,*,T190315P00017000,,put,03/15/2019,03/15/2019,17,0,0,0.04,0,0,0
T,30.67,*,T190315C00018000,,call,03/15/2019,03/15/2019,18,13.2,10.9,14.4,0,4,0
T,30.67,*,T190315P00018000,,put,03/15/2019,03/15/2019,18,0,0,0.04,0,0,0
T,30.67,*,T190315C00019000,,call,03/15/2019,03/15/2019,19,0,11.3,12.1,0,0,0
T,30.67,*,T190315P00019000,,put,03/15/2019,03/15/2019,19,0,0,0.04,0,0,0
T,30.67,*,T190315C00020000,,call,03/15/2019,03/15/2019,20,10.3,9.5,11.5,0,31,0
T,30.67,*,T190315P00020000,,put,03/15/2019,03/15/2019,20,0.01,0,0.04,0,69,0
T,30.67,*,T190315C00021000,,call,03/15/2019,03/15/2019,21,10,7.9,11.4,0,30,0
T,30.67,*,T190315P00021000,,put,03/15/2019,03/15/2019,21,0.01,0,0.04,0,80,0
T,30.67,*,T190315C00022000,,call,03/15/2019,03/15/2019,22,7.8,7.6,8.9,0,57,0
T,30.67,*,T190315P00022000,,put,03/15/2019,03/15/2019,22,0,0,0.01,0,41,0
T,30.67,*,T190315C00022500,,call,03/15/2019,03/15/2019,22.5,7.55,6.4,9.9,0,32,0
T,30.67,*,T190315P00022500,,put,03/15/2019,03/15/2019,22.5,0,0,0.04,0,0,0
T,30.67,*,T190315C00023000,,call,03/15/2019,03/15/2019,23,6.45,5.9,9.35,0,1,0
T,30.67,*,T190315P00023000,,put,03/15/2019,03/15/2019,23,0.01,0,0.04,0,226,0
T,30.67,*,T190315C00023500,,call,03/15/2019,03/15/2019,23.5,7.35,5.8,8.9,0,44,0
T,30.67,*,T190315P00023500,,put,03/15/2019,03/15/2019,23.5,0,0,0.04,0,0,0
T,30.67,*,T190315C00024000,,call,03/15/2019,03/15/2019,24,6.81,4.9,8.35,0,7,0
T,30.67,*,T190315P00024000,,put,03/15/2019,03/15/2019,24,0.01,0,0.04,0,240,0
T,30.67,*,T190315C00024500,,call,03/15/2019,03/15/2019,24.5,6.7,4.4,7.85,0,34,0
T,30.67,*,T190315P00024500,,put,03/15/2019,03/15/2019,24.5,0,0,0.04,0,0,0
T,30.67,*,T190315C00025000,,call,03/15/2019,03/15/2019,25,5.53,5.55,7.4,7,103,0
T,30.67,*,T190315P00025000,,put,03/15/2019,03/15/2019,25,0.01,0,0.01,0,1512,0
T,30.67,*,T190315C00025500,,call,03/15/2019,03/15/2019,25.5,4.45,3.4,6.9,0,107,0
T,30.67,*,T190315P00025500,,put,03/15/2019,03/15/2019,25.5,0,0,0.04,0,0,0
T,30.67,*,T190315C00026000,,call,03/15/2019,03/15/2019,26,4.61,4.55,4.95,10,112,0
T,30.67,*,T190315P00026000,,put,03/15/2019,03/15/2019,26,0.01,0,0.04,16,1341,0
T,30.67,*,T190315C00026500,,call,03/15/2019,03/15/2019,26.5,4.03,2.8,4.6,10,20,0
T,30.67,*,T190315P00026500,,put,03/15/2019,03/15/2019,26.5,0.01,0,0.04,0,19,0
T,30.67,*,T190315C00027000,,call,03/15/2019,03/15/2019,27,3.33,3.55,4.45,1,400,0
